I5370,  Gx,   0.025° /  32.750°, And, 0.7', 15.0m, 
I5371,    ,   0.050° /  32.817°, And,     ,      , 
 7801,    ,   0.100° /  50.700°, Cas,     ,      , 
I5372,  Gx,   0.100° /  32.783°, And, 0.7', 15.0m, 
I5373,  Gx,   0.100° /  32.783°, And, 0.7', 15.0m, 
 7802,  Gx,   0.275° /   6.217°, Psc,     , 14.0m, 
I5374,    ,   0.275° /   4.500°, Psc,     ,      , 
I5375,  Gx,   0.275° /   4.517°, Psc, 0.9', 14.0m, 
 7804,    ,   0.325° /   7.750°, Psc,     ,      , 
 7803,  Gx,   0.350° /  13.100°, Peg,     , 14.0m, 
 7805,  Gx,   0.350° /  31.433°, Peg, 1.4', 14.0m, 
I5376,  Gx,   0.350° /  34.533°, And, 2.1', 15.0m, 
 7806,  Gx,   0.375° /  31.450°, Peg, 1.3', 14.0m, 
I1526,  Gx,   0.400° /  11.350°, Peg,     , 15.0m, 
I5377,  Gx,   0.525° /  16.600°, Peg, 1.3', 16.0m, 
 7809,  Gx,   0.550° /   2.933°, Psc,     , 15.0m, 
 7810,  Gx,   0.600° /  12.950°, Peg,     , 14.0m, 
I1527,    ,   0.600° /   4.117°, Psc,     ,      , 
 7811,  Gx,   0.625° /   3.333°, Psc,     , 15.0m, 
I5378,    ,   0.650° /  16.617°, Peg,     ,      , 
I5379,    ,   0.675° /  16.583°, Peg,     ,      , 
I5380,    ,   0.675° / -66.183°, Tuc,     ,      , 
 7812,  Gx,   0.725° / -34.250°, Scl,     ,      , 
 7813,  Gx,   0.800° / -11.983°, Cet,     , 15.0m, 
I5381,  Gx,   0.800° /  15.967°, Peg, 1.5',      , 
 7814,  Gx,   0.825° /  16.150°, Peg, 6.3', 10.5m, 
 7815,    ,   0.850° /  20.683°, Peg,     ,      , 
I5382,    ,   0.850° / -65.183°, Tuc,     ,      , 
 7808,  Gx,   0.875° / -10.750°, Cet,     , 14.0m, 
 7822,  Nb,   0.900° /  68.617°, Cep,60.0',      , 
 7816,  Gx,   0.950° /   7.467°, Psc, 1.9', 14.0m, 
I5383,    ,   0.950° /  16.000°, Peg,     ,      , 
 7817,  Gx,   1.000° /  20.750°, Peg, 3.7', 12.0m, 
 7818,  Gx,   1.050° /   7.350°, Psc,     , 15.0m, 
I5384,  Gx,   1.050° / -11.967°, Cet, 0.8', 15.0m, 
 7819,  Gx,   1.100° /  31.483°, Peg, 2.0', 14.0m, 
 7820,  Gx,   1.150° /   5.183°, Psc,     , 14.0m, 
 7823,  Gx,   1.200° / -62.067°, Tuc, 1.4',      , 
